id,process_date,avg_price,min_price,max_price
324,20211125,5701171000000000000000,10000000000000000000000,9600000000000000000000
325,20211126,4886967000000000000000,15000000000000000000000,9488000000000000000000
326,20211127,5799130000000000000000,13250000000000000000000,9900000000000000000000
327,20211128,5703129000000000000000,18000000000000000000000,9999000000000000000000
328,20211129,4187071000000000000000,12750000000000000000000,6543000000000000000000
329,20211130,4556227000000000000000,3195000000000000000000,8000000000000000000000
330,20211201,4275553000000000000000,3195000000000000000000,5990000000000000000000
331,20211202,4794875000000000000000,13999000000000000000000,9876000000000000000000
332,20211203,5115316000000000000000,3450000000000000000000,9888000000000000000000
333,20211204,5471742000000000000000,10000000000000000000000,9500000000000000000000
334,20211205,5520000000000000000000,3480000000000000000000,8945000000000000000000
335,20211206,4463438000000000000000,3590000000000000000000,6888000000000000000000
336,20211207,5180737000000000000000,14200000000000000000000,6800000000000000000000
337,20211208,4360450000000000000000,1399000000000000000000,6250000000000000000000
338,20211209,5139895000000000000000,3750000000000000000000,8388000000000000000000
339,20211210,11747522000000000000000,125000000000000000000000,6888000000000000000000
340,20211211,5077750000000000000000,3950000000000000000000,7777000000000000000000
341,20211212,5249318000000000000000,3950000000000000000000,9950000000000000000000
342,20211213,4897000000000000000000,3980000000000000000000,7420000000000000000000
343,20211214,5033474000000000000000,3890000000000000000000,9865000000000000000000
344,20211215,5950656000000000000000,11000000000000000000000,8999000000000000000000
345,20211216,5190737000000000000000,4050000000000000000000,7420000000000000000000
346,20211217,5754615000000000000000,13311000000000000000000,9989000000000000000000
347,20211218,5025733000000000000000,4099000000000000000000,7000000000000000000000
348,20211219,4993158000000000000000,12000000000000000000000,6400000000000000000000
349,20211220,5089231000000000000000,4050000000000000000000,6769000000000000000000
350,20211221,5398621000000000000000,12488000000000000000000,9500000000000000000000
351,20211222,5494828000000000000000,4150000000000000000000,8800000000000000000000
352,20211223,5534400000000000000000,4180000000000000000000,8340000000000000000000
353,20211224,5333625000000000000000,3995000000000000000000,7500000000000000000000
354,20211225,4774818000000000000000,3920000000000000000000,6300000000000000000000
355,20211226,4705615000000000000000,3800000000000000000000,9228000000000000000000
356,20211227,5986800000000000000000,14999000000000000000000,7898000000000000000000
357,20211228,4757357000000000000000,3888000000000000000000,6222000000000000000000
358,20211229,5122286000000000000000,4099000000000000000000,7995000000000000000000
359,20211230,6173333000000000000000,16710000000000000000000,5500000000000000000000
360,20211231,5231500000000000000000,4250000000000000000000,6999000000000000000000
361,20220101,5205833000000000000000,4100000000000000000000,9440000000000000000000
362,20220102,5197727000000000000000,3999000000000000000000,6750000000000000000000
363,20220103,7005200000000000000000,25000000000000000000000,7399000000000000000000
364,20220104,5621600000000000000000,3600000000000000000000,9600000000000000000000
365,20220105,5358250000000000000000,3800000000000000000000,9800000000000000000000
366,20220106,5548452000000000000000,4250000000000000000000,8888000000000000000000
367,20220107,4927375000000000000000,4288000000000000000000,7000000000000000000000
368,20220108,4953364000000000000000,10000000000000000000000,5997000000000000000000
369,20220109,6411545000000000000000,11999000000000000000000,6888000000000000000000
370,20220110,5820929000000000000000,11111000000000000000000,7000000000000000000000
371,20220111,5655786000000000000000,4749000000000000000000,6997000000000000000000
372,20220112,5472750000000000000000,4567000000000000000000,6969000000000000000000
373,20220113,6451053000000000000000,25000000000000000000000,6555000000000000000000
374,20220114,5891857000000000000000,10000000000000000000000,8888000000000000000000
375,20220115,5918357000000000000000,4700000000000000000000,8420000000000000000000
376,20220116,5797000000000000000000,4900000000000000000000,7388000000000000000000
377,20220117,5674357000000000000000,5000000000000000000000,7495000000000000000000
378,20220118,5825231000000000000000,4970000000000000000000,6899000000000000000000
379,20220119,5836727000000000000000,5100000000000000000000,6969000000000000000000
380,20220120,5815522000000000000000,4800000000000000000000,7200000000000000000000
381,20220121,6246722000000000000000,5129000000000000000000,9974000000000000000000
382,20220122,7024440000000000000000,15000000000000000000000,9000000000000000000000
383,20220123,7265850000000000000000,12000000000000000000000,7997000000000000000000
384,20220124,5885565000000000000000,5000000000000000000000,8690000000000000000000
385,20220125,6518765000000000000000,5149000000000000000000,9999000000000000000000
386,20220126,7037231000000000000000,19999000000000000000000,8888000000000000000000
387,20220127,7222667000000000000000,11499000000000000000000,8888000000000000000000
388,20220128,6059500000000000000000,4850000000000000000000,8499000000000000000000
